84,Ben Cocchiaro
35,Lamar Matthew
535,Doug Kurtz
85,Kirsten Jensen
232,Barbara Hohenstein
383,Ben Fink
478,Mairi Quodomine
336,Joshua Barnett
162,Michael Sensor
81t,Buck Wanner
70b,Nancy Mandel
504,Gerald Clark
36b,Lynne deBenedette
542,Matt Roberts
269,Liz Cantrell
511,Jon Giles
315,Gerry Hoffman
BREAK,RECESS
47t,Cheri Hardy
472,Claire Steiner
300,Myles Louis Dakan
173,Nancy Britton
143,Brian How
71,John D. delRe
309,Erin Kelly
196,Sophie Soloway
61,Lindsay Kruse
212,Cora Wareh
78,Lucas Husted
30t,Wendy Sibbison
548,Philippa Stoddard
176b,Mary Andrews
539,Graham DeZarn
547,Katie White
475,Linda Shea
474,Paula Picton
BREAK,RECESS
53,Rachel Speer
91,Ben Sachs-Hamilton
388,Dan Hunter
367,Elizabeth Stoddard
419,Liora O’Donnell Goldensher
362,Dan Coppock
24b,Jesse Polhemus
406,Molly Merrett
487,Kelly Macklin
135,Mason Shefa
340,Anya Skibbie
40,Jason Steidl
456,Faiz Wareh
270,Emily Hale-Sills
298,Michael Nord
567,Robert Stoddard
195,Gwen Gethner
492,John Plunkett
185,Tarik Wareh
328,Christine Andrews
BREAK,LUNCH
207,Ruth Wampler
426b,Micah John Walter
216,David Brodeur
274t,Marilyn Murata
148,Anna Leigh Smith
517,Thom Fahrbach
436,Kate Fortin
532,Mike Hinton
564,Nora Miller
76b,Mike Richards
330t,Sasha Hsuczyk
282,Alec Jenkins-White
227,Chris Coughlin
466,Ian Quinn
505,Jeff Begley
371,Chris Cotter
132,Ellen Lueck
72b,Pattie Wareh
556,Emma Rose Brown
80t,John delRe
318,Sonia Chin
399b,Ben Bath
428,Jordan Lewis
201,Lori Cabirac
89,Hal Kunkel
454,Barbara Swetman
284,Julia Seidenstein
BREAK,RECESS
67,Oliver Kindig-Stokes
268,Jim Strube
37b,Corinne Ducey
77t,Evan Druce
283,Joel Miller
294,Charles Biada
56b,Carol Huang
99,Mary Helen Dupree
217,Bethany Towne
198,Mary Skidmore
430,Aldo Ceresa
65,Becky Wright
299,Douglas Fower
302,Laura Densmore
473,Terry Ryan
524,Gina Balestracci
365,Charlotte Ehrman
145t,Tom Stokes
373,Dean Jens
497,Harry Scott
347,Ben Cocchiaro
48t,Ben Cocchiaro
42,Nancy Mandel
327,Dan Coppock
495,Ted Stokes
57,Katy Kanfer
344,Lamar Matthew
38t,Katie White
501,John delRe
276,Kirsten Jensen
192,Doron Henkin
404,Tarik Wareh
277,Barbara Hohenstein
418,Bethany Towne
350,Carol Stevens
313t,Laura Densmore
156,Anna Melton
314,Oliver Kindig-Stokes
315,Cheri Hardy
546,Gerry Hoffman
BREAK,RECESS
56t,Ian Quinn
29t,Julia Seidenstein
486,Faiz Wareh
34b,Chloe Mohr
112,Elizabeth Pilar
460,Matt Roberts
326,Kelly Macklin
442,Guy Bankes
417,Anna Leigh Smith
441,Myles Louis Dakan
321,Dan Hunter
485,Barbara Swetman
424,Philippa Stoddard
411,Michael Nord
448t,Molly Merrett
412,Marilyn Murata
354t,John D. delRe
BREAK,RECESS
337,Sonia Chin
304,Gina Balestracci
131t,Graham DeZarn
39t,Christine Andrews
48b,Mason Shefa
370,Kate Fortin
459,John Plunkett
440,Sasha Hsuczyk
534,Mike Hinton
339,Erin Gum
414,Ruth Wampler
340,Ruth Wampler
338,Robert Stoddard
168,Mary Andrews
187,Tom Stokes
310,Ian Quinn
410t,Claire Steiner
58,Becca Gibson
BREAK,LUNCH
129,Josh Barnett
269,Becky Wright
402,Thom Fahrbach
325,Emma Rose Brown
218,Leon Pulsinelle
377,Suzan Greenberg
306,Linda Shea
88t,Chris Coughlin
165,Elizabeth Stoddard
165,Charles Biada
178,Lucas Husted
333,Carol Huang
250,Rachel Hall
378t,Scott Robinson
512,Ben Bath
445,Thomas Ward
182,Gwen Gethner
480,Josh Barnett
545,Jeff Begley
280,Emily Hale-Sills
30b,Gerald Clark
30b,Corinne Ducey
270,Jeff Gauthier
87,Mike Richards
521,Charles Biada
95,Sophie Soloway
530,Rachel Speer
530,Calvin Jens
BREAK,RECESS
36t,Ted Stokes
479,Ina Shea
479,Carol Stevens
550,Terry Ryan
489,Cora Wareh
73t,Ellen Lueck
522,David Brodeur
191,Jesse Polhemus
193,Nora Miller
472,Elizabeth Patton
569t,Dean Jens
228,Evan Druce
538,Mary Skidmore
260,Harry Scott
28t,Mary Helen Dupree
157,Charlotte Ehrman
106,Jordan Lewis
503,Pattie Wareh
209,Douglas Fower
405,Jason Steidl
155,Sonia Chin
500,Aldo Ceresa
500,Sarah Weiss
573,Joel Miller
62,Ben Cocchiaro